@relation '212695L1 2-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'rodzaj ?r�d?a dochodu' numeric
@attribute 'miesieczny dochod netto' string
@attribute 'ktore rolowanie' numeric
@attribute 'kwota kredytu' string
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim b?dzie pobiera? doch�d' numeric
@attribute 'op�?nienie sp?aty' numeric

@data
13,2051,0,500,63,K,138,48,0
13,'1291,18',4,'378,91',70,K,79,48,0
13,'1691,3',0,500,62,K,73,48,0
17,1031,2,350,53,K,51,48,2017
11,1680,4,'586,65',57,K,70,48,0
13,'910,33',3,200,73,M,163,48,0
12,2500,2,800,57,M,4,5,0
11,1077,0,200,55,K,183,48,0
11,1700,4,'238,78',53,K,205,48,0
11,'1373,34',1,200,30,K,58,48,0
11,2837,0,'662,69',30,M,126,48,2017
12,1700,4,400,54,K,54,48,0
13,1300,0,300,77,K,193,48,0
11,1800,0,300,57,M,160,48,0
13,850,3,400,66,K,67,48,0
17,1200,4,200,25,K,165,48,0
13,'1601,87',0,350,64,M,45,48,0
11,1700,3,500,51,K,305,48,0
11,1400,4,300,43,K,25,48,0
13,910,4,200,66,K,69,48,0
11,'2094,17',0,200,53,M,241,48,0
12,1000,1,300,50,M,43,48,0
13,'1200,29',1,200,62,K,22,48,0
13,1280,4,400,61,K,17,48,0
11,'1286,16',0,300,42,K,117,48,0
13,1216,4,200,66,K,141,48,0
13,1900,4,500,56,M,150,48,0
11,2200,0,200,42,M,43,48,0
16,1770,4,500,58,M,89,48,0
13,'722,05',3,200,71,K,197,48,0
16,1235,0,200,70,K,33,48,0
11,'1721,7',4,'385,97',54,K,120,48,0
11,1800,0,400,51,M,259,48,0
12,'1963,88',3,400,44,M,6,6,0
11,3898,0,400,36,M,181,48,0
13,1870,0,300,72,M,85,48,0
13,'1239,98',1,300,78,K,255,48,0
12,'984,34',3,200,53,K,18,21,0
12,1447,4,500,29,K,21,24,0
13,810,4,300,60,K,33,48,0
11,'1730,13',2,400,56,K,193,48,0
11,'2709,34',4,'322,07',35,K,181,48,0
11,'2899,34',0,400,35,K,121,48,0
11,'1906,42',2,'227,08',60,K,212,48,0
13,1072,4,'561,15',69,K,153,48,0
13,1400,0,500,59,K,54,48,0
13,1050,4,600,61,K,139,48,0
11,2700,4,600,30,M,64,48,0
17,728,4,200,27,M,100,48,0
12,1634,2,300,22,K,12,13,0
17,1896,0,500,22,M,34,34,2012
12,1029,0,300,23,M,4,11,2012
11,'1566,82',0,200,46,M,349,48,0
13,1820,4,800,61,K,69,48,0
13,907,2,200,70,K,234,48,0
12,1100,1,200,26,M,33,48,0
11,'1239,05',1,400,39,K,204,48,0
12,1865,1,200,31,K,20,22,0
98,3000,0,400,52,K,85,48,0
11,2400,3,500,35,K,113,48,0
11,901,3,300,28,K,40,48,0
13,2110,4,300,66,M,101,48,0
13,1015,4,400,64,K,109,48,2010
11,'2368,57',2,400,54,K,410,48,0
11,2505,0,300,40,K,164,48,0
17,1100,2,200,56,K,27,34,0
16,'1072,89',4,'255,49',55,K,122,48,0
99,1100,1,200,53,K,51,48,0
13,1400,0,600,59,K,246,48,0
99,598,0,200,52,K,2,7,0
13,1000,0,200,75,K,211,48,0
13,785,0,200,72,K,64,48,0
13,1900,0,400,75,K,121,48,0
11,2700,4,500,37,K,121,48,0
11,3100,4,500,32,K,121,48,0
11,1800,4,500,49,K,53,48,0
11,'1493,98',3,200,47,K,361,48,0
11,'932,34',4,200,51,K,395,48,0
11,1443,4,600,43,K,33,48,0
12,1300,3,300,26,K,8,12,0
12,1500,3,300,22,K,4,4,0
98,4000,4,'492,01',35,K,18,48,0
16,1362,4,400,53,K,29,48,0
13,'1244,77',4,300,58,K,39,48,0
13,1872,4,700,58,K,35,48,0
16,1340,0,200,63,K,161,48,0
13,1573,0,300,67,M,89,48,0
98,2200,4,200,47,K,25,48,0
12,1637,0,300,30,M,52,48,0
13,1668,4,'395,77',63,K,91,48,0
13,1107,2,'201,4',60,K,15,48,0
12,'1048,27',0,200,39,K,3,20,0
13,2282,0,300,61,K,25,48,0
11,1500,0,417,27,K,24,48,0
16,'634,64',3,300,57,K,136,48,0
11,'2327,94',0,500,24,M,35,48,0
11,2050,4,'575,74',32,M,118,48,0
98,911,4,300,46,K,98,48,0
13,'992,96',0,200,61,K,12,48,0
11,1000,4,300,30,M,57,48,0
13,865,4,200,70,K,128,48,0
11,2100,1,300,54,M,38,48,0
11,'992,84',4,300,49,K,121,48,0
99,780,0,200,57,K,1,4,0
11,2100,3,500,60,M,187,48,0
13,1370,3,600,59,K,76,48,0
13,1500,4,'371,45',61,M,23,48,0
12,980,4,200,31,K,10,11,0
11,1300,1,600,54,K,68,48,0
11,1700,3,500,36,K,197,48,0
13,1310,0,500,61,K,78,48,0
16,1045,3,200,50,M,199,48,0
12,1540,1,600,33,K,39,40,0
11,'983,97',2,200,57,K,78,48,0
12,'1038,68',0,300,46,K,21,27,0
12,1032,4,'295,24',46,K,38,41,0
11,3300,0,300,44,M,237,48,0
13,815,1,400,67,K,144,48,0
11,1400,4,'246,99',52,K,161,48,0
12,1521,0,200,30,M,20,31,0
11,'980,11',1,400,34,K,45,48,0
12,1800,0,300,26,M,53,48,0
17,990,0,500,50,K,72,48,0
11,2600,0,400,64,M,135,48,0
11,'1460,17',1,200,55,M,61,48,0
13,2000,4,450,68,M,45,48,0
16,1151,0,500,66,M,361,48,0
16,'1473,04',1,400,65,M,165,48,0
13,720,1,500,58,K,232,48,0
16,'749,28',4,200,53,K,65,48,0
13,1420,0,300,70,M,53,48,0
11,2500,0,'895,59',47,M,204,48,0
11,1400,0,300,52,K,161,48,0
13,962,0,500,62,K,65,48,0
13,1426,4,300,71,M,77,48,0
13,1100,1,300,63,K,105,48,0
11,'967,64',3,200,48,K,319,48,0
13,3700,4,700,62,K,27,48,0
13,'1772,53',1,300,71,M,280,48,0
13,1016,0,300,70,K,189,48,0
11,2947,4,'348,19',59,M,53,48,2003
16,980,4,'407,31',68,K,131,48,0
13,1362,4,500,61,K,56,48,0
13,2100,1,300,72,K,160,48,0
13,1900,4,500,62,K,88,48,0
12,1000,4,328,60,M,12,15,0
12,1000,4,'328,32',50,K,32,35,0
11,1770,4,'277,34',39,K,87,48,0
11,'2249,14',0,500,57,K,241,48,0
13,1519,1,350,78,M,254,48,0
